orderId,orderDateTime,totalAmount,id,name,quantity,amount,merchantId,name
16954,"2021-10-09 18:16:02",11.30,1015,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
16954,"2021-10-09 18:16:02",11.30,1015,额外加蛋,2,1.20,122,大山脚鸭蛋炒粿条
16955,"2021-10-09 18:34:24",21.00,1016,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
16955,"2021-10-09 18:34:24",21.00,1016,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
16956,"2021-10-09 20:34:01",5.40,1017,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
16957,"2021-10-10 09:17:26",7.11,73,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
16958,"2021-10-10 10:19:51",14.30,349,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
16958,"2021-10-10 10:19:51",14.30,349,Cocoa,1,6.90,40,"Cube Coffee (Greenlane)"
16959,"2021-10-10 10:52:01",24.00,797,"咖喱面 Curry Mee",3,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16959,"2021-10-10 10:52:01",24.00,797,"咖喱猪肠粉 Curry Chee Cheong Fun",3,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16960,"2021-10-10 10:59:15",13.27,621,Latte,2,6.90,38,"Cube Coffee (One Precinct)"
16961,"2021-10-10 11:06:18",11.80,1018,"咖喱面 Curry Mee",2,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16961,"2021-10-10 11:06:18",11.80,1018,"猪肠粉 Chee Cheong Fun",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16962,"2021-10-10 12:52:33",9.00,890,鸡-叉烧-烧肉,2,6.00,106,"金凤烧腊鸡鸭饭 (Bayan Baru Food Court)"
16964,"2021-10-10 12:59:32",24.80,816,"Y01 - 有米酸奶",1,13.90,50,"Yomie's Rice X Yogurt (Dpiazza)"
16964,"2021-10-10 12:59:32",24.80,816,"Y02 - 有燕麦酸奶",1,13.90,50,"Yomie's Rice X Yogurt (Dpiazza)"
16965,"2021-10-10 15:25:39",6.11,73,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
16966,"2021-10-10 16:09:00",8.50,586,"GIZZLE 鸡胗",1,5.00,88,"BM OTO Fried Chicken"
16966,"2021-10-10 16:09:00",8.50,586,"CHICKEN POPCORN",1,5.50,88,"BM OTO Fried Chicken"
16967,"2021-10-10 16:41:14",44.91,1019,"Green Tea Ice Blended",4,10.90,39,"Cube Coffee (Tanjung Tokong)"
16968,"2021-10-10 17:42:08",5.00,337,"BUTTOCK 鸡尾",1,5.00,88,"BM OTO Fried Chicken"
16969,"2021-10-10 18:47:08",47.20,704,"炒粿条 (小)",8,5.70,122,大山脚鸭蛋炒粿条
16972,"2021-10-10 18:53:40",5.40,1022,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
16971,"2021-10-10 18:53:33",4.90,1021,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
16975,"2021-10-10 19:03:39",15.33,443,"Cube Coffee",2,8.90,41,"Cube Coffee (New World Park)"
16976,"2021-10-10 21:36:10",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16976,"2021-10-10 21:36:10",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16976,"2021-10-10 21:36:10",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16977,"2021-10-10 21:51:09",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16977,"2021-10-10 21:51:09",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16977,"2021-10-10 21:51:09",4.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
16978,"2021-10-11 08:14:18",12.00,773,"咖喱面 Curry Mee",3,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
16979,"2021-10-11 09:09:05",6.11,73,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
16980,"2021-10-11 09:21:46",24.50,80,"Cube Coffee",3,8.90,40,"Cube Coffee (Greenlane)"
16981,"2021-10-11 10:49:57",5.30,2,人参须鸡汤,1,10.00,80,"Liang Mei Zai Soup (Sg Ara Foodcourt)"
16983,"2021-10-11 11:06:36",15.33,167,"Cube Coffee",1,8.90,40,"Cube Coffee (Greenlane)"
16983,"2021-10-11 11:06:36",15.33,167,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
16984,"2021-10-11 12:15:00",13.27,161,Cappuccino,1,6.90,40,"Cube Coffee (Greenlane)"
16984,"2021-10-11 12:15:00",13.27,161,"Cube Coffee",1,8.90,40,"Cube Coffee (Greenlane)"
16986,"2021-10-11 12:08:43",5.50,778,"Koay Teow (Small)",1,5.50,98,味鄉炭烧鸭蛋炒粿條
16987,"2021-10-11 13:09:05",15.33,1025,"Cube Coffee",2,8.90,40,"Cube Coffee (Greenlane)"
16988,"2021-10-11 14:28:31",10.30,13,"Mee Udang",1,10.00,118,"Mee Udang J & M (Sg Ara Foodcourt)"
16989,"2021-10-11 17:05:44",18.32,471,Cappuccino,3,6.90,40,"Cube Coffee (Greenlane)"
16991,"2021-10-11 18:28:22",49.80,1026,鸭蛋炒粿条(大),2,7.00,117,"MingQing Charcoal Duck Egg"
16991,"2021-10-11 18:28:22",49.80,1026,鸭蛋炒粿角【大】,3,7.00,117,"MingQing Charcoal Duck Egg"
16991,"2021-10-11 18:28:22",49.80,1026,鸭蛋炒粿角【小】,3,6.00,117,"MingQing Charcoal Duck Egg"
16991,"2021-10-11 18:28:22",49.80,1026,荷包包,4,1.20,117,"MingQing Charcoal Duck Egg"
16992,"2021-10-11 18:36:14",5.00,1027,"肉料 - 清汤",1,7.00,101,老家鱼头米粉
16993,"2021-10-11 19:46:57",10.80,1028,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
16995,"2021-10-11 19:48:27",13.80,1029,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
16996,"2021-10-11 19:48:52",4.90,1030,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
16998,"2021-10-11 19:57:08",24.64,1031,炒粿条(大),4,6.20,122,大山脚鸭蛋炒粿条
16998,"2021-10-11 19:57:08",24.64,1031,额外加蛋,1,1.20,122,大山脚鸭蛋炒粿条
16999,"2021-10-11 20:27:42",5.40,1032,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17000,"2021-10-11 20:34:05",15.30,1034,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
17000,"2021-10-11 20:34:05",15.30,1034,额外加蛋,1,1.20,122,大山脚鸭蛋炒粿条
17001,"2021-10-12 12:15:00",25.00,1035,"鸭蛋炒粿条 (小)",1,6.00,117,"MingQing Charcoal Duck Egg"
17001,"2021-10-12 12:15:00",25.00,1035,鸭蛋炒粿条(大),1,7.00,117,"MingQing Charcoal Duck Egg"
17001,"2021-10-12 12:15:00",25.00,1035,柠檬爱玉冰,1,5.00,117,"MingQing Charcoal Duck Egg"
17001,"2021-10-12 12:15:00",25.00,1035,养颜桃胶,2,5.00,117,"MingQing Charcoal Duck Egg"
17002,"2021-10-11 21:04:38",10.10,1036,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17002,"2021-10-11 21:04:38",10.10,1036,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17003,"2021-10-11 21:57:45",17.70,1037,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
17004,"2021-10-11 22:02:03",15.00,1038,"鸭蛋炒粿条 (小)",3,6.00,117,"MingQing Charcoal Duck Egg"
17006,"2021-10-12 11:45:00",19.50,1040,"鮮蝦猪肠粉 HK Style Rice Rolls W. Prawn",2,4.00,91,"Leong Kee Tim Sum"
17006,"2021-10-12 11:45:00",19.50,1040,"蛋撻 Egg Tart",1,2.60,91,"Leong Kee Tim Sum"
17006,"2021-10-12 11:45:00",19.50,1040,"茶葉蛋 Herbal Tea Eggs",1,3.00,91,"Leong Kee Tim Sum"
17006,"2021-10-12 11:45:00",19.50,1040,"脆皮蝦角 Crispy Shrimp Dumplings",1,5.00,91,"Leong Kee Tim Sum"
17008,"2021-10-12 11:39:37",17.00,844,"咖哩鸡套餐 (包括1 x 饭)（三色饭）",1,8.50,125,"322 Color Rice (Sg Ara Food Court)"
17008,"2021-10-12 11:39:37",17.00,844,"麻油鸡套餐( 包括 1 x 饭) （三色饭）",1,8.50,125,"322 Color Rice (Sg Ara Food Court)"
17009,"2021-10-12 12:17:34",9.17,3,Mocha,1,6.90,38,"Cube Coffee (One Precinct)"
17010,"2021-10-12 13:23:22",27.00,1012,"鸭蛋炒粿条 (小)",5,6.00,117,"MingQing Charcoal Duck Egg"
17011,"2021-10-12 13:26:17",15.33,54,"Cube Coffee",2,8.90,40,"Cube Coffee (Greenlane)"
17013,"2021-10-12 15:02:55",9.20,436,"Koay Teow (Big)",1,6.00,98,味鄉炭烧鸭蛋炒粿條
17013,"2021-10-12 15:02:55",9.20,436,"荷包蛋 poached egg",1,1.20,98,味鄉炭烧鸭蛋炒粿條
17014,"2021-10-12 16:08:49",9.00,1041,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17015,"2021-10-12 16:29:58",14.41,289,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
17015,"2021-10-12 16:29:58",14.41,289,"Citron Vert + Sour Plum Soda",1,7.90,40,"Cube Coffee (Greenlane)"
17016,"2021-10-12 18:30:30",12.00,842,"F03 - Fish & Chips",1,7.50,108,"Western Delight (Bayan Baru Food Court)"
17016,"2021-10-12 18:30:30",12.00,842,"F01 - Grill Teriyaki Fish",1,7.50,108,"Western Delight (Bayan Baru Food Court)"
17017,"2021-10-12 19:55:28",9.60,1042,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
17017,"2021-10-12 19:55:28",9.60,1042,额外加蛋,1,1.20,122,大山脚鸭蛋炒粿条
17018,"2021-10-12 20:16:58",11.80,929,炒粿条(大),2,6.20,122,大山脚鸭蛋炒粿条
17019,"2021-10-12 20:36:02",5.40,1043,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17020,"2021-10-12 21:09:44",5.40,1044,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17024,"2021-10-13 12:15:00",9.00,1045,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17025,"2021-10-13 10:58:51",4.00,2,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17026,"2021-10-13 11:25:47",9.00,412,"咖喱猪肠粉 Curry Chee Cheong Fun",3,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17027,"2021-10-13 12:05:47",4.00,777,"Set 3 - BBQ Sause Chicken 烧烤酱鸡排饭",1,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17028,"2021-10-13 12:37:33",13.00,844,河粉（1人份）,1,7.00,115,"Ipoh Hor Fun Bean Sprout Chicken Rice 怡保河粉芽菜雞飯  (Bayan Baru Food Court)"
17028,"2021-10-13 12:37:33",13.00,844,油饭（1人份）,1,7.00,115,"Ipoh Hor Fun Bean Sprout Chicken Rice 怡保河粉芽菜雞飯  (Bayan Baru Food Court)"
17031,"2021-10-13 14:05:55",11.00,1047,鸭蛋炒粿条(大),2,7.00,117,"MingQing Charcoal Duck Egg"
17034,"2021-10-13 14:08:23",6.11,73,Americano,1,6.90,40,"Cube Coffee (Greenlane)"
17035,"2021-10-13 19:15:00",27.54,723,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17035,"2021-10-13 19:15:00",27.54,723,鸭蛋炒粿条(大),2,7.00,117,"MingQing Charcoal Duck Egg"
17037,"2021-10-13 19:01:35",24.00,1048,"鸭蛋炒粿条 (小)",4,6.00,117,"MingQing Charcoal Duck Egg"
17037,"2021-10-13 19:01:35",24.00,1048,鸭蛋炒粿角【小】,1,6.00,117,"MingQing Charcoal Duck Egg"
17038,"2021-10-13 20:00:23",16.50,1049,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
17038,"2021-10-13 20:00:23",16.50,1049,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17039,"2021-10-13 20:41:54",11.40,1050,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17040,"2021-10-13 21:05:03",11.80,1051,炒粿条(大),2,6.20,122,大山脚鸭蛋炒粿条
17041,"2021-10-13 21:07:11",29.60,1051,炒粿条(大),5,6.20,122,大山脚鸭蛋炒粿条
17042,"2021-10-13 21:07:12",11.80,1052,炒粿条(大),2,6.20,122,大山脚鸭蛋炒粿条
17043,"2021-10-14 15:00:00",1.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
17044,"2021-10-14 05:46:47",1.00,2,"Fried Noodle 炒面",1,1.00,18,"Restaurant Example"
17045,"2021-10-14 10:52:22",24.50,80,"Cube Coffee",2,8.90,40,"Cube Coffee (Greenlane)"
17045,"2021-10-14 10:52:22",24.50,80,Cappuccino,1,6.90,40,"Cube Coffee (Greenlane)"
17046,"2021-10-14 12:12:15",10.33,844,黑豆排骨汤,1,10.00,80,"Liang Mei Zai Soup (Sg Ara Foodcourt)"
17047,"2021-10-14 12:41:18",10.90,716,"Y02 - 有燕麦酸奶",1,13.90,52,"Yomie's Rice X Yogurt (Summerton)"
17048,"2021-10-14 12:57:31",8.27,76,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
17050,"2021-10-14 13:31:26",8.27,73,Americano,2,6.90,40,"Cube Coffee (Greenlane)"
17051,"2021-10-14 14:33:46",30.79,268,Mocha,1,6.90,38,"Cube Coffee (One Precinct)"
17051,"2021-10-14 14:33:46",30.79,268,"Cube Coffee",3,8.90,38,"Cube Coffee (One Precinct)"
17052,"2021-10-14 14:51:47",17.30,791,"Koay Teow (Big)",2,6.00,98,味鄉炭烧鸭蛋炒粿條
17053,"2021-10-14 15:19:22",7.14,745,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
17054,"2021-10-14 15:32:17",14.00,1054,"CHICKEN SKIN 鸡皮",1,5.00,88,"BM OTO Fried Chicken"
17054,"2021-10-14 15:32:17",14.00,1054,"CHEEZY WAGES",1,5.00,88,"BM OTO Fried Chicken"
17054,"2021-10-14 15:32:17",14.00,1054,"CHICKEN POPCORN",1,5.50,88,"BM OTO Fried Chicken"
17055,"2021-10-14 15:35:38",40.90,1053,"F05 Avocados x Melon Yogurt 森林甜果酸奶",1,15.00,47,"Young Yogurt (Ong Yi How)"
17055,"2021-10-14 15:35:38",40.90,1053,"F08 Berry Berries Yogurt 虏获少女心莓果酸奶",1,15.00,47,"Young Yogurt (Ong Yi How)"
17055,"2021-10-14 15:35:38",40.90,1053,"S01 Pure Yogurt 纯酸奶",1,8.00,47,"Young Yogurt (Ong Yi How)"
17056,"2021-10-14 17:09:16",9.00,337,"CHICKEN SKIN 鸡皮",1,5.00,88,"BM OTO Fried Chicken"
17056,"2021-10-14 17:09:16",9.00,337,"CHEEZY WAGES",1,5.00,88,"BM OTO Fried Chicken"
17057,"2021-10-14 18:55:42",9.50,639,"C07 - Chicken Maryland",1,10.50,108,"Western Delight (Bayan Baru Food Court)"
17058,"2021-10-14 19:06:56",5.00,1011,鸭蛋炒粿条(大),1,7.00,117,"MingQing Charcoal Duck Egg"
17060,"2021-10-14 20:47:44",26.88,1055,"鸭蛋炒粿条 (小)",5,6.00,117,"MingQing Charcoal Duck Egg"
17060,"2021-10-14 20:47:44",26.88,1055,荷包包,3,1.20,117,"MingQing Charcoal Duck Egg"
17062,"2021-10-15 12:15:00",21.60,1058,鸭蛋炒粿条(大),3,7.00,117,"MingQing Charcoal Duck Egg"
17063,"2021-10-15 12:15:00",14.00,1058,柠檬爱玉冰,3,5.00,117,"MingQing Charcoal Duck Egg"
17064,"2021-10-15 12:15:00",9.00,670,"Set 3 - BBQ Sause Chicken 烧烤酱鸡排饭",2,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17065,"2021-10-15 12:15:00",9.00,991,"Set 2 - Mayonnaise Chicken 美乃滋鸡排饭",2,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17067,"2021-10-15 12:04:13",9.00,1060,"Set 2 - Mayonnaise Chicken 美乃滋鸡排饭",1,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17067,"2021-10-15 12:04:13",9.00,1060,"Set 3 - BBQ Sause Chicken 烧烤酱鸡排饭",1,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17068,"2021-10-15 12:19:25",17.60,1061,Cocoa,1,6.90,40,"Cube Coffee (Greenlane)"
17068,"2021-10-15 12:19:25",17.60,1061,"Cocoa Ice Blended",1,10.90,40,"Cube Coffee (Greenlane)"
17069,"2021-10-15 12:21:19",16.30,223,"Cube Coffee",1,8.90,40,"Cube Coffee (Greenlane)"
17069,"2021-10-15 12:21:19",16.30,223,Cappuccino,1,6.90,40,"Cube Coffee (Greenlane)"
17070,"2021-10-15 12:59:00",4.67,716,"Loh Han Guo 罗汉果",1,3.00,63,"Super Nice Koay Teow Teng"
17070,"2021-10-15 12:59:00",4.67,716,"Honey Lemon 蜂蜜柠檬茶",1,2.50,63,"Super Nice Koay Teow Teng"
17071,"2021-10-15 13:27:00",9.00,838,"Set 2 - Mayonnaise Chicken 美乃滋鸡排饭",2,6.00,109,"NO.48  Set Meal Shop (Bayan Baru Food Court)"
17072,"2021-10-15 13:42:55",4.00,414,"CHICKEN SKIN 鸡皮",1,5.00,88,"BM OTO Fried Chicken"
17073,"2021-10-15 15:19:27",10.90,783,"Y01 - 有米酸奶",1,13.90,50,"Yomie's Rice X Yogurt (Dpiazza)"
17074,"2021-10-15 15:23:10",15.33,834,"Cube Coffee",2,8.90,40,"Cube Coffee (Greenlane)"
17075,"2021-10-15 17:30:00",27.00,429,"6 in 1 SNACK COMBO SET",1,30.00,88,"BM OTO Fried Chicken"
17076,"2021-10-15 17:30:00",54.00,442,"(ADVANCE) WHOLE CHICKEN 全只手撕鸡",2,31.00,88,"BM OTO Fried Chicken"
17077,"2021-10-15 15:35:40",16.30,745,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
17077,"2021-10-15 15:35:40",16.30,745,Cappuccino,1,6.90,40,"Cube Coffee (Greenlane)"
17079,"2021-10-15 15:59:19",13.27,86,Latte,1,6.90,40,"Cube Coffee (Greenlane)"
17079,"2021-10-15 15:59:19",13.27,86,"Citron Vert + Sour Plum Soda",1,7.90,40,"Cube Coffee (Greenlane)"
17081,"2021-10-15 16:42:25",15.00,715,"Koay Teow (Big)",3,6.00,98,味鄉炭烧鸭蛋炒粿條
17082,"2021-10-15 16:54:01",8.27,388,"Cube Coffee",1,8.90,40,"Cube Coffee (Greenlane)"
17083,"2021-10-15 17:11:06",34.00,1062,"鸭蛋炒粿条 (小)",1,6.00,117,"MingQing Charcoal Duck Egg"
17083,"2021-10-15 17:11:06",34.00,1062,"鸭蛋炒粿条 (小)",5,6.00,117,"MingQing Charcoal Duck Egg"
17085,"2021-10-15 17:32:14",15.30,1063,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17085,"2021-10-15 17:32:14",15.30,1063,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
17086,"2021-10-15 17:34:02",6.40,1065,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17087,"2021-10-15 17:34:58",22.00,1064,"Koay Teow (Small)",4,5.50,98,味鄉炭烧鸭蛋炒粿條
17088,"2021-10-15 17:41:33",4.90,1066,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17090,"2021-10-15 18:02:08",10.80,1067,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
17091,"2021-10-15 18:21:40",10.80,1068,"炒粿条 (小)",2,5.70,122,大山脚鸭蛋炒粿条
17092,"2021-10-15 18:25:35",15.00,1069,"鸭蛋炒粿条 (小)",3,6.00,117,"MingQing Charcoal Duck Egg"
17093,"2021-10-15 18:40:39",11.30,1070,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17093,"2021-10-15 18:40:39",11.30,1070,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17094,"2021-10-15 18:47:03",4.20,1071,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17095,"2021-10-15 18:47:31",25.10,1072,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
17095,"2021-10-15 18:47:31",25.10,1072,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17096,"2021-10-15 19:02:14",26.60,1073,炒粿条(大),4,6.20,122,大山脚鸭蛋炒粿条
17097,"2021-10-15 19:03:09",13.50,1074,"Koay Teow (Small)",3,5.50,98,味鄉炭烧鸭蛋炒粿條
17098,"2021-10-15 19:15:08",28.48,1075,"鸭蛋炒粿条 (小)",3,6.00,117,"MingQing Charcoal Duck Egg"
17098,"2021-10-15 19:15:08",28.48,1075,养身山楂,1,2.00,117,"MingQing Charcoal Duck Egg"
17098,"2021-10-15 19:15:08",28.48,1075,八爪鱼,1,12.00,117,"MingQing Charcoal Duck Egg"
17099,"2021-10-15 19:16:43",5.50,842,"F01 - Grill Teriyaki Fish",1,7.50,108,"Western Delight (Bayan Baru Food Court)"
17100,"2021-10-15 19:17:16",36.00,1076,"鸭蛋炒粿条 (小)",5,6.00,117,"MingQing Charcoal Duck Egg"
17101,"2021-10-15 19:39:31",5.40,1077,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17102,"2021-10-15 19:50:46",7.40,1078,炒粿条(大),1,6.20,122,大山脚鸭蛋炒粿条
17103,"2021-10-15 19:56:44",4.90,1079,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17104,"2021-10-15 20:08:41",4.70,1080,"炒粿条 (小)",1,5.70,122,大山脚鸭蛋炒粿条
17105,"2021-10-15 20:10:25",14.10,1081,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
17107,"2021-10-15 20:19:40",6.00,1083,鸭蛋炒粿条(大),1,7.00,117,"MingQing Charcoal Duck Egg"
17108,"2021-10-15 20:20:03",6.20,1082,"鸭蛋炒粿条 (小)",1,6.00,117,"MingQing Charcoal Duck Egg"
17109,"2021-10-15 20:24:11",13.80,929,炒粿条(大),2,6.20,122,大山脚鸭蛋炒粿条
17110,"2021-10-15 20:53:53",10.20,1084,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17110,"2021-10-15 20:53:53",10.20,1084,荷包蛋,1,1.20,117,"MingQing Charcoal Duck Egg"
17111,"2021-10-15 20:55:46",33.40,1085,"炒粿条 (小)",6,5.70,122,大山脚鸭蛋炒粿条
17113,"2021-10-15 21:17:32",17.70,1087,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
17115,"2021-10-15 21:18:21",47.20,1088,"炒粿条 (小)",8,5.70,122,大山脚鸭蛋炒粿条
17116,"2021-10-16 12:15:00",16.20,1089,"鸭蛋炒粿条 (小)",3,6.00,117,"MingQing Charcoal Duck Egg"
17116,"2021-10-16 12:15:00",16.20,1089,荷包蛋,1,1.20,117,"MingQing Charcoal Duck Egg"
17117,"2021-10-16 08:15:00",3.80,653,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17117,"2021-10-16 08:15:00",3.80,653,"猪肠粉 Chee Cheong Fun",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17118,"2021-10-16 08:15:00",4.00,653,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17120,"2021-10-16 09:54:46",9.00,1018,"咖喱面 Curry Mee",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17120,"2021-10-16 09:54:46",9.00,1018,"咖喱猪肠粉 Curry Chee Cheong Fun",1,0.00,103,"93 咖喱猪肠粉,猪肠粉,咖喱面 (Bayan Baru Food Court)"
17121,"2021-10-16 11:10:34",8.17,89,"Cube Coffee",1,8.90,40,"Cube Coffee (Greenlane)"
17122,"2021-10-16 11:53:06",29.55,80,"Cube Coffee",3,8.90,40,"Cube Coffee (Greenlane)"
17122,"2021-10-16 11:53:06",29.55,80,Cappuccino,1,6.90,40,"Cube Coffee (Greenlane)"
17123,"2021-10-16 13:06:17",9.00,1090,"鸭蛋炒粿条 (小)",2,6.00,117,"MingQing Charcoal Duck Egg"
17124,"2021-10-16 14:19:55",14.90,1091,"FF04 - 牛油果果酸奶",1,17.90,50,"Yomie's Rice X Yogurt (Dpiazza)"
17125,"2021-10-16 18:45:00",28.40,1092,"炒粿条 (小)",3,5.70,122,大山脚鸭蛋炒粿条
